id,address_state,application_type,emp_length,emp_title,grade,home_ownership,loan_status,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,last_credit_pull_date,last_payment_date,next_payment_date,original_issue_date
761499,GA,INDIVIDUAL,"10+ years","Greif LLC",A,MORTGAGE,"Fully Paid",961964,car,A4," 36 months","Not Verified",112992,0.1825,248.82,0.0749,8000,25,8957,2021-08-14,2021-06-14,2021-07-14,2021-11-05
390651,VA,INDIVIDUAL,"10+ years","Girard Engineering",A,MORTGAGE,"Fully Paid",425903,car,A4," 36 months","Not Verified",135000,0.0518,255.58,0.0932,8000,14,9201,2021-07-15,2021-12-04,2021-12-05,2021-09-04
483645,GA,INDIVIDUAL,"10+ years",AT&T,A,MORTGAGE,"Fully Paid",615502,car,A4," 36 months","Not Verified",75181,0.1831,186.66,0.0751,6000,30,6720,2021-02-13,2021-02-13,2021-03-13,2021-10-02
866551,IL,INDIVIDUAL,"10+ years","City of Chicago",A,MORTGAGE,"Fully Paid",1079988,car,A4," 36 months","Not Verified",110400,0.1916,93.31,0.0749,3000,41,3359,2021-09-14,2021-09-14,2021-10-14,2021-11-09
394295,CA,INDIVIDUAL,"10+ years","Downey welding",A,MORTGAGE,"Fully Paid",432897,car,A5," 36 months","Not Verified",48000,0.1257,481.42,0.0963,15000,31,17331,2021-12-05,2021-12-05,2021-12-06,2021-09-04
472637,TX,INDIVIDUAL,"2 years",Accenture,A,MORTGAGE,"Fully Paid",596861,car,A1," 36 months","Not Verified",54000,0.0267,268.83,0.0705,8700,15,9538,2021-11-12,2021-11-12,2022-11-01,2021-09-12
732697,CO,INDIVIDUAL,"2 years",Corvirtus,A,MORTGAGE,"Fully Paid",928926,car,A1," 36 months","Not Verified",85000,0.04,168.9,0.0542,5600,36,6080,2021-10-15,2021-05-14,2021-06-14,2021-11-04
628369,TX,INDIVIDUAL,"2 years","Cricket Communications",A,MORTGAGE,"Fully Paid",805177,car,A3," 36 months","Not Verified",36000,0.1997,54.9,0.0617,1800,21,1977,2021-12-13,2021-12-13,2022-01-13,2021-10-12
842807,NY,INDIVIDUAL,"2 years","walmart distribution",A,MORTGAGE,"Fully Paid",1053506,car,A4," 36 months","Not Verified",36000,0.1883,217.72,0.0749,7000,13,7838,2021-05-16,2021-08-14,2021-09-14,2021-11-08
564180,CA,INDIVIDUAL,"3 years","California Department of Justice",A,MORTGAGE,"Fully Paid",725950,car,A1," 36 months","Not Verified",120000,0.052,140.76,0.0639,4600,42,5068,2021-08-13,2021-09-13,2021-10-13,2021-10-08
464609,AZ,INDIVIDUAL,"3 years","Mesa Fire Department",A,MORTGAGE,"Fully Paid",582432,car,A2," 36 months","Not Verified",60000,0.1004,62.12,0.074,2000,14,2036,2021-05-16,2021-10-03,2021-10-04,2021-09-12
1050642,OH,INDIVIDUAL,"3 years","Ares Inc.",A,MORTGAGE,"Fully Paid",1281883,car,A2," 36 months","Not Verified",62352,0.1207,116.68,0.0662,3800,24,4187,2021-06-14,2021-06-14,2021-07-14,2021-11-12
710680,PA,INDIVIDUAL,"3 years","Lonza Inc",A,MORTGAGE,"Fully Paid",903454,car,A2," 36 months","Not Verified",54000,0.1129,151.64,0.0579,5000,20,5459,2021-04-14,2021-04-14,2021-05-14,2021-11-03
390765,MD,INDIVIDUAL,"3 years","Rummel  Klepper  and  Kahl",A,MORTGAGE,"Fully Paid",426115,car,A3," 36 months","Not Verified",60000,0.0036,313.37,0.08,10000,11,10513,2021-10-03,2021-10-02,2021-10-03,2021-09-04
1026512,TX,INDIVIDUAL,"4 years",Aramark,A,MORTGAGE,"Fully Paid",1255698,car,A1," 36 months","Not Verified",66000,0.0118,91.31,0.0603,3000,23,3287,2021-11-14,2021-12-14,2022-01-14,2021-11-11
